"LATITUDE";"LONGITUDE";"populacao_total_media";"total_de_domicilios_media";"total_trabalhadores_media";"renda_per_capita_media";"gastos_habitacao_dom_media";"gastos_transporte_dom_media";"gastos_saude_dom_media";"gastos_educacao_dom_media";"gastos_higiene_e_cuidados_pessoais_dom_media";"gastos_alimentacao_dom_media";"gastos_telefone_fixo_dom_media";"gastos_telefone_celular_dom_media";"gastos_pacote_3play_dom_media";"gastos_comunicacao_dom_media";"gastos_recreacao_e_cultura_dom_media";"gastos_viagens_dom_media";"propensao_seguro_saude_media";"propensao_seguro_vida_media";"propensao_seguro_residencial_media"
-16.6696929931641;-49.2304229736328;731.301717867277;284.813428127495;2228.93728567667;2531.31361884551;2047.08297081581;1247.7494470611;476.309407367461;260.177154283923;256.965428722129;1126.78862506418;8.65218110870789;79.2771082636245;56.3543048709466;5.30454233968662;175.29856720314;90.1800268261554;57.5806056501864;23.1909449467516;16.6416140783831
-16.6683197021484;-49.2317962646484;768.324022100905;319.162266917029;1501.90170040486;4319.88529086446;2417.80716602998;1793.26938289226;572.015941329278;374.070815155252;313.868994645577;1338.81725730927;8.53105889800262;94.4825965258281;76.5061110291225;6.03001118714461;254.938298215769;138.25835412168;70.5853647360511;28.7384822817575;25.025201854301
-16.6683197021484;-49.2331695556641;885.502412329972;371.172092615563;792.38636433359;5191.01101797785;2626.2999124448;1987.81800921208;636.150281638405;419.602443096095;342.965690297289;1465.13874051653;9.13509654307531;103.963679346342;85.238731919507;6.74340519551088;282.256966483093;154.852885378235;71.468137236973;29.12881308828;25.5386439718646
-16.6696929931641;-49.2345428466797;758.880342106005;347.040402449928;35.3233845233185;5249.26458513228;2568.51051433529;1851.18310962657;632.82998138628;394.947442081349;333.731007623118;1445.70960471958;9.4215981475423;102.918467442294;81.3327998682464;6.7763295883285;263.323420893271;144.277275410346;71.4874349520633;29.19413517614;25.5924613399259
-16.7026519775391;-49.2153167724609;546.541807303937;186.125511205247;5159.31679719219;11701.8704827799;4906.33102133037;4953.72128609731;1203.9778415798;1204.84463288827;593.324015129936;2537.21828419572;10.1373910436293;193.188408942913;186.586215975989;11.99408420689;703.941452672315;424.351081754639;65.3394314874494;26.4008842990936;20.584191131603
-16.7040252685547;-49.2153167724609;798.171830727419;266.058549603357;392.39281195939;25784.2761963121;9100.54119896501;10293.9625474967;2224.32402158075;2570.33759539998;1067.10481596991;4529.34733592318;13.9890634446904;355.118126702983;369.11328769181;22.2279420645361;1447.18158536155;891.997052402779;81.348791407244;33.1709668728868;29.4030192698601
-16.7012786865234;-49.2166900634766;408.568712597574;136.441967844934;929.531073048937;12586.7938437595;5831.38402853642;6173.74825415185;1429.18968471883;1419.61659410175;752.44899599699;3097.03649139838;10.7059799771101;230.227768289118;234.330905420076;14.1566688914359;879.140817040318;521.635472020635;77.6657922361231;31.6028791402903;28.4015221878678
-16.7040252685547;-49.2166900634766;613.540243164207;207.883301018787;4445.30009267759;14753.177141585;5761.4455029439;6039.06371388979;1411.9919930416;1490.25006047937;685.486203197209;2933.60145778179;10.9454594825241;226.095102374955;223.192335022879;14.0882305532491;854.558389592748;520.169806963552;67.8898501846404;27.4802732862882;21.9057567761047
-16.7053985595703;-49.2180633544922;557.620573393811;190.263668687207;5672.8107247367;11412.1701964236;4750.12814865139;4750.3755710752;1165.9596679159;1163.12218884579;569.90475212411;2450.29530350531;10.0236381911487;187.017688762124;178.997018319367;11.6229428646967;675.069636649419;407.553883269135;63.8135187260838;25.7567236471011;19.635048668321
-16.7012786865234;-49.2208099365234;408.64583602732;136.206147687393;623.791365845397;12973.7741380135;5976.0509595915;6359.82095278603;1464.39106448168;1462.87400631382;771.219643281126;3171.10432389371;10.8263420111635;235.871968778358;240.959547195945;14.5054521927231;905.277970922417;537.505122361111;78.6090496141145;32.001294661556;28.9667955273498
