"ERB_CASA";"QTDE_LNHA_POS";"QTDE_LNHA_CTRL";"QTDE_LNHA_PRE";"X";"Y";"ANOMES"
"GO8QH";9;96;93;-48,285174;-15,73254;202601
"GOCRU";475;507;217;-49,251333;-16,688444;202601
"GOTAX";7;20;9;-48,42884;-16,11065;202601
"GOGSG";91;228;98;-49,235472;-16,630333;202601
"GOARD";28;173;227;-51,084278;-14,927556;202601
"GODAQ";82;736;754;-48,89834;-16,40986;202601
"GOAPV";142;174;58;-47,799372;-16,063025;202601
"GOSVD";214;1903;1144;-48,606139;-16,662917;202601
"GOADB";96;1008;852;-49,341661;-16,816339;202601
"GOJUC";59;322;197;-51,627762;-17,69968;202601
"GOSRA";87;1391;1161;-53,198681;-17,3268;202601
"GOADV";295;389;202;-49,192964;-16,618161;202601
"GOJRC";1223;3212;1110;-51,733194;-17,88025;202601
"GOPPS";291;931;659;-48,964161;-15,833747;202601
"GOMPA";783;2216;1496;-49,278089;-16,781181;202601
"GOMUR";84;427;323;-50,339469;-17,973533;202601
"GOMKU";145;1217;1289;-48,209167;-13,523333;202601
"GOSAC";47;257;201;-50,635111;-17,558639;202601
"GOJRV";70;446;315;-51,503611;-17,848056;202601
"GOUUN";74;808;782;-49,653883;-15,525911;202601
"GOVEC";173;1133;816;-49,394989;-16,685433;202601
"GOSTA";511;4273;2639;-48,267453;-15,942111;202601
"GORON";5;28;53;-49,328011;-17,166819;202601
"GOMOA";269;4055;3651;-48,209139;-15,608694;202601
"GOMIA";408;1335;710;-49,12375;-17,732694;202601
"GO8RD";40;216;159;-47,313444;-15,544222;202601
"GO8XX";0;4;4;-49,794784;-16,007098;202601
"GOVLD";491;701;383;-49,303042;-16,692461;202601
"GOCRT";483;3109;3134;-47,607578;-16,752425;202601
"GORPL";6;55;17;-49,218694;-17,839639;202601
"GOPPD";213;661;460;-48,958931;-15,85795;202601
"GOCGC";47;545;565;-48,4048;-15,7318;202601
"GOMZA";106;720;1178;-50,570306;-14,746278;202601
"GOGPO";348;2407;1897;-49,533539;-16,832558;202601
"GOALV";604;982;511;-49,308308;-16,705506;202601
"GOGPL";239;889;561;-49,37264;-16,65678;202601
"GOSHI";163;663;399;-49,201722;-16,65025;202601
"GONQV";2;33;21;-48,754775;-14,620938;202601
"GONHA";325;494;161;-49,300767;-16,727636;202601
"GOVPE";543;1565;633;-47,979194;-16,051778;202601
"GOSVV";212;393;278;-49,124651;-16,797939;202601
"GOSPL";487;449;281;-49,252481;-16,710964;202601
"GOJEP";229;535;189;-48,92339;-16,33562;202601
"GOPGQ";150;1286;941;-47,616444;-15,441722;202601
"GO8XH";38;112;67;-47,983277;-16,078527;202601
"GOCZH";149;1476;1567;-48,821944;-15,801194;202601
"GOVLB";402;637;373;-49,2558;-16,7313;202601
"GOGND";162;678;485;-49,118;-15,319694;202601
"GOCJN";193;384;143;-48,943261;-16,311269;202601
"GOAAE";127;347;283;-49,307231;-16,6137;202601
"GORLO";898;1114;430;-50,952139;-17,807389;202601
"GORAP";733;897;505;-50,922778;-17,793222;202601
"GONNC";5;28;72;-49,421828;-15,060439;202601
"GOSVL";78;421;395;-49,363;-16,629111;202601
"GORIU";215;788;602;-49,500453;-16,384736;202601
"GOCLS";114;575;471;-48,605722;-17,744528;202601
"GOALF";214;249;260;-49,308806;-16,642028;202601
"GOMMG";24;615;633;-48,15475;-15,056528;202601
"GOBAL";23;333;353;-48,900833;-14,959722;202601
"GOHDO";178;662;420;-49,23228;-16,967942;202601
"GOGJC";121;847;867;-49,425639;-16,6609;202601
"GOBUR";19;488;795;-46,4297;-14,457358;202601
"GOBVD";474;3726;2120;-48,952639;-16,975836;202601
"GOCEA";410;2869;1525;-48,001547;-16,053514;202601
"GOQNP";652;3635;2123;-50,453781;-18,450033;202601
"GONCS";64;752;1361;-50,3225;-14,099444;202601
"GORSB";82;579;362;-46,943417;-15,561889;202601
"GOCTM";46;188;101;-47,90476;-18,1665;202601
"GOAJP";116;319;219;-48,919822;-16,349419;202601
"GOICC";151;1900;1397;-49,555636;-14,954528;202601
"GORP1";0;2;0;-49,484758;-16,662078;202601
"GOGSP";133;521;230;-49,20305;-16,673911;202601
"GOCUM";44;808;577;-48,539967;-18,158397;202601
"GO8QL";3;33;22;-48,229361;-15,942722;202601
"GOISO";57;134;65;-49,223694;-18,405139;202601
"GORVC";559;451;166;-50,930731;-17,805;202601
"GOCTA";873;1198;475;-47,947583;-18,170833;202601
"GORCD";67;678;611;-47,550972;-14,904417;202601
"GO8XF";28;109;130;-49,33184;-15,74047;202601
"GOASF";151;291;130;-48,956278;-16,359556;202601
"GONAZ";147;2408;1687;-49,883139;-16,58425;202601
"GOABD";48;334;421;-49,403361;-16,813131;202601
"GOADR";9;25;13;-48,91659;-16,40404;202601
"GOANB";598;390;147;-49,265222;-16,678056;202601
"GONHZ";341;932;592;-49,318303;-16,720075;202601
"GOSAV";265;474;305;-49,094711;-16,759859;202601
"GOMII";410;933;510;-49,31556;-16,67155;202601
"GOCXD";57;802;913;-49,960681;-14,531081;202601
"GOIPC";208;2168;1857;-51,12125;-16,427278;202601
"GOGIN";260;1987;1887;-49,430556;-16,502778;202601
"GOAIR";60;396;322;-49,27675;-16,81235;202601
"GODVE";103;806;1285;-52,31425;-16,721722;202601
"GOLES";561;1089;596;-49,241133;-16,665833;202601
"GOICB";3;14;97;-50,114286;-15,423936;202601
"GOASB";212;1173;891;-49,3497;-16,7931;202601
"GOMCV";300;1162;616;-52,552194;-17,575083;202601
"GOCBD";127;1577;2300;-46,781333;-13,029306;202601
"GOTCN";1010;551;142;-49,264711;-16,710481;202601
"GOPLT";160;1759;1330;-47,604444;-15,480278;202601
"GO8QJ";0;3;3;-49,339361;-15,792;202601
"GOCIR";128;216;112;-48,628317;-17,739092;202601
"GOGCC";460;252;91;-49,259578;-16,685461;202601
"GOMAH";6;47;23;-49,378083;-14,225889;202601
"GOSBT";267;1647;1801;-47,508003;-14,155911;202601
"GONNO";1;107;183;-49,497639;-15,065042;202601
"GOGTB";49;196;101;-49,284631;-18,041944;202601
"GOGCJ";545;894;380;-49,297753;-16,685308;202601
"GOCRI";45;231;216;-48,711361;-17,217417;202601
"GOBEL";500;1486;1114;-49,331081;-16,68655;202601
"GOVVP";16;213;231;-48,433303;-16,805622;202601
"GOSIL";2;35;40;-50,29379;-16,37785;202601
"GOPIH";39;556;614;-51,855861;-16,445583;202601
"GOPBN";95;877;1220;-48,276628;-15,219697;202601
"GOSAB";44;190;144;-50,681058;-17,522972;202601
"GOSJB";108;837;683;-49,782806;-16,631528;202601
"GORIC";91;762;593;-49,632388;-16,159033;202601
"GOIEQ";185;2882;3530;-49,794861;-16,007019;202601
"GOPGC";172;1240;885;-47,616189;-15,451842;202601
"GO60H";3;3;10;-49,502861;-16,644;202601
"GOFOZ";395;1059;778;-47,335472;-15,565361;202601
"GOHDD";304;1987;1553;-49,217933;-16,955219;202601
"GONVC";140;1591;1091;-49,316072;-16,374047;202601
"GOLVI";24;307;278;-47,869286;-16,274847;202601
"GOANS";583;1030;546;-48,956728;-16,330703;202601
"GOGAB";174;297;113;-49,286631;-16,688822;202601
"GOCHC";328;2796;2332;-50,945806;-18,756583;202601
"GOSFA";119;297;184;-49,316722;-16,687833;202601
"GOATU";19;85;81;-52,09295;-18,518764;202601
"GOSMO";139;942;688;-49,107917;-16,69225;202601
"GOVPT";406;2289;1016;-47,996944;-16,0755;202601
"GO8XQ";24;254;165;-48,290528;-15,786464;202601
"GOIBT";23;159;112;-49,257528;-18,409444;202601
"GOAVJ";93;431;309;-48,97555;-16,3494;202601
"GO60A";2;3;2;-61,96975;-10,864167;202601
"GOATN";1462;706;242;-49,2655;-16,696681;202601
"GONEM";31;147;89;-49,241409;-16,788204;202601
"GOFLY";812;459;173;-49,236225;-16,709181;202601
"GOFVE";39;503;334;-47,401983;-15,002183;202601
"GOTCD";312;720;497;-49,484381;-16,667569;202601
"GOHOR";201;1086;967;-49,336961;-16,624139;202601
"GOJID";181;1490;1056;-47,935639;-16,147089;202601
"GOCEC";31;195;200;-48,327222;-15,863047;202601
"GOBVS";390;3988;2433;-48,945789;-16,964661;202601
"GOPTR";102;873;833;-49,329483;-16,604514;202601
"GOALU";480;3236;1836;-48,284331;-15,726764;202601
"GOLDO";32;221;196;-47,9913;-16,161;202601
"GOSCC";308;1638;1210;-49,087508;-16,726769;202601
"GOGSV";183;640;280;-49,206231;-16,684139;202601
"GOCTZ";273;828;368;-47,954947;-18,196158;202601
"GOVJV";1070;564;213;-49,213253;-16,727161;202601
"GOVVE";1229;1607;794;-50,94285;-17,790931;202601
"GOPED";82;344;252;-49,253481;-16,790711;202601
"GOJAN";530;1860;950;-51,724083;-17,875142;202601
"GOFAT";45;203;228;-49,323405;-16,901323;202601
"GOJTR";688;3956;1779;-51,726139;-17,837428;202601
"GOSLN";23;376;473;-49,316686;-14,857306;202601
"GOJT2";317;1279;780;-51,710308;-17,88295;202601
"GOJED";167;916;611;-51,719197;-17,915713;202601
"GOLZQ";231;1487;1035;-47,914331;-16,26315;202601
"GORVP";484;1383;946;-50,919075;-17,781269;202601
