"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size","Platform Type"
"attr_cell_bandwidths_khz","An array (JSON text containing an array of integers) of cell bandwidths (in kHz) for the current serving cells.","text","2025-10-24","255","Mobile"
"attr_cell_pci","Physical Cell Identity. An integer to identify the physical LTE, LTE+NR, or NR cell the user is connected to. The value is unique to the physical cell antennae rather than a specific cell tower. Valid values are 0 to 503.","integer","2025-10-24","16","Mobile"
"is_dc_nr_restricted","A flag indicating if dual-connectivity with NR is restricted in the cell.","boolean","2025-10-24","5","Mobile"
"is_cell_nr_available","A flag indicating if NR is available in the cell.","boolean","2025-10-24","100","Mobile"
"is_en_dc_available","A flag indicating if EUTRAN NR dual-connectivity is available in the cell.","boolean","2025-10-24","5","Mobile"
"is_connection_carrier_aggregation","TRUE if carrier aggregation is in use.","boolean","2025-10-24","5","Mobile"
"attr_cell_nr_frequency_range","The frequency range of 5G NR.0 = FREQUENCY_RANGE_UNKNOWN. Indicates frequency range is unknown.1 = FREQUENCY_RANGE_LOW. Indicates the frequency range is below 1GHz.2 = FREQUENCY_RANGE_MID. Indicates the frequency range is between 1GHz to 3GHz.3 = FREQUENCY_RANGE_HIGH. Indicates the frequency range is between 3GHz and 6GHz.4 = FREQUENCY_RANGE_MMWAVE. Indicates the frequency range is above 6GHz.","integer","2025-10-24","8","Mobile"
"attr_connection_nr_state","New Radio state of the mobile data network. Returns one of the following:1 = RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) but either the use of dual connectivity with NR(DCNR) is restricted or NR is not supported by the selected PLMN.2 = NOT_RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and both the use of dual connectivity with NR(DCNR) is not restricted and NR is supported by the selected PLMN.3 = CONNECTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and also connected to at least one 5G cell as a secondary serving cell.0 = NONE. The device isn't camped on an LTE cell or the LTE cell doesn't support E-UTRA-NR Dual Connectivity(EN-DC).","text","2025-10-24","1","Mobile"
"val_signal_cqi","CQI stands for Channel Quality Indicator. As the name implies, it is an indicator carrying the information on how good/bad the communication channel quality is. In LTE, there are 15 different CQI values ranging from 1 to 15 and mapping between CQI and modulcation scheme.In HSDPA, the CQI value ranges from 0 to 30. 30 indicates the best channel quality and 0,1 indicates the poorest channel quality.","integer","2025-10-24","8","Mobile"
"val_signal_rsrp_dbm","Reference Signal Received PowerLTE metric displaying the received power of the reference LTE signal, often referred to as ""signal strength"". Range: [-40, -140], where -140 is poor and -44 is best","integer","2025-10-24","16","Mobile"
"val_signal_rsrq_db","Reference Signal Received QualityThe received quality of the LTE reference signal.Range: [-20, -3] where -20 is poor and -3 is best","integer","2025-10-24","8","Mobile"
"val_signal_rssnr_db","Reference Signal Signal-to-Noise RatioPerhaps the most important KPI, but it's rarely properly reported in Android OS. It's the ratio between the noise and signal of the LTE data transmission.Range: [-30, +30], where -30 is poor and +30 is best","integer","2025-10-24","16","Mobile"
"val_signal_timing_advance_step","LTE Timing Advance measured in Ts.","integer","2025-10-24","100","Mobile"
