"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"place_type","The type of place the location coordinates resolved to for the `place_name` field: `locality`: incorporated city or town political entity`neighborhood`: named neighborhood`sublocality_level_1`: civil entity hierarchically below a locality`sublocality_level_2`: civil entity hierarchically below sublocality_level_1`sublocality_level_3`: civil entity hierarchically below sublocality_level_2`sublocality_level_4`: civil entity hierarchically below sublocality_level_3`sublocality_level_5`: civil entity hierarchically below sublocality_level_4`administrative_area_level_1`: first-order civil entity hierarchically below a country (""region""), such as states in the United States`administrative_area_level_2`: second-order civil entity hierarchically below a country (""subregion""), such as counties in the United States`administrative_area_level_3`: third-order civil entity hierarchically below a country`administrative_area_level_4`: fourth-order civil entity hierarchically below a country`administrative_area_level_5`: fifth-order civil entity hierarchically below a country`colloquial_area`: commonly used alternative name fo the place`country`: national political entity`postal town`: grouping of geographic areas, such as locality and sublocality, used for mailing addresses in some countries","text","2022-05-25","100"
"location_check","Whether the coordinates reported by the device represent a valid location","boolean","2022-05-25","5"
"grant_fine_location","Whether the user granted the app fine location permission","boolean","2022-05-25","5"
"grant_coarse_location","Whether the user granted the app coarse location permission","boolean","2022-05-25","5"
"grant_background_location","Whether the user granted the app background location permission","boolean","2022-05-25","5"
"grant_phone_state","Whether the user granted the app phone state permission (eg, phone number, cellular network information, status of calls)","boolean","2022-05-25","5"
"grant_internet","Whether the app secured internet access permission from the operating system","boolean","2022-05-25","5"
"grant_network_state","Whether the app secured network state permission (for monitoring network connections in general) from the operating system","boolean","2022-05-25","5"
"grant_wifi_state","Whether the app secured wifi state permission (for monitoring wifi connectivity) from the operating system","boolean","2022-05-25","5"
"grant_boot_completed","Whether the app secured boot completed permission (for restarting jobs after a reboot) from the operating system","boolean","2022-05-25","5"
"grant_billing","Whether the app secured billing permission (for in-app purchases) from the operating system","boolean","2022-05-25","5"
"gsm_rssi","For GSM technology, the Received Signal Strength Indicator, measured in dBm in the range [-113, -51]","number","2022-05-25","11"
"wcdma_ecno","For WCDMA technology, the ratio of the energy of pilot signal per chip (Ec) to the noise density (No), measured in dB in the range [-24, 1]","number","2022-05-25","11"
