"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"id_location_type","How the user location coordinates were determined: 1 = GPS / Fused location 2 = GeoIP","number","2024-07-22","1"
"attr_location_accuracy_m","Estimated latitude/longitude accuracy of the chosen best location, measured in meters. Ookla chooses the best location based on the reported location age and accuracy.","number","2024-07-22","5"
"attr_location_age_ms","Derived by Ookla; based on timestamp (in ms) of the chosen best location vs. the current location. Reveals how long ago was the location was generated.","number","2024-07-22","11"
"attr_location_speed_mps","Movement speed of the device at the time of the sample, measured in meters per second.","number","2024-07-22","5"
"location_speed_accuracy","The estimated speed accuracy of this location, in meters per second","number","2024-07-22","5"
"attr_location_altitude_m","Altitude of the chosen best location, measured in meters. Ookla chooses the best location based on the reported location age and accuracy.","number","2024-07-22","6"
"attr_location_vertical_accuracy_m","Estimated vertical (altitude) accuracy of this location, in meters","number","2024-07-22","4"
"is_connection_cellular_service","TRUE if the device has access to a cellular connection.","text","2024-07-22","5"
"attr_place_name","Locality where test is taken. This is typically an incorporated city or town political entity.","text","2024-07-22","100"
"attr_place_formatted_address","Full location name including city, county, region, and country, if available.","text","2024-07-22","250"
"attr_place_type","Place type of the returned result; most often ""locality"" which is an incorporated city or town political entity.","text","2024-07-22","100"
"attr_place_country","Country where the test was taken","text","2024-07-22","100"
"attr_place_region","Region name where test is taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc.","text","2024-07-22","100"
"attr_place_subregion","Region name where test is taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level names. Not all countries display this information.","text","2024-07-22","100"
"attr_place_postal_code","Postal code for the test location. The postal code is that same as what is used to address mail within the country.","text","2024-07-22","100"
"attr_app_version","The version of the Android Speedtest app used","text","2024-07-22","11"
"is_app_foreground","Whether or not the Speedtest app is in the foreground when the scan is taken","text","2024-07-22","5"
"is_signal_nr_telephony_sourced","True if any of the following fields were sourced from Android's TelephonyManager rather than CellInfoNr: ss_rsrp, ss_rsrq, ss_sinr, csi_rsrp, csi_rsrq, csi_sinr, nr_level, nr_arfcn, nci, nr_pci, nr_tac, nr_mcc, nr_mnc Otherwise, ""False"".","text","2024-07-22","1"
"val_signal_rsrp_dbm","Reference signal received power; this field is pre-filtered to between -144 and -44","number","2024-07-22","4"
"val_signal_csi_rsrp_dbm","CSI Reference Signal Received Power (CSI-RSRP), is defined as the linear average over the power contributions (in [W]) of the resource elements of the antenna port(s) that carry CSI reference signals configured for RSRP measurements within the considered measurement frequency bandwidth in the configured CSI-RS occasions. Reference: 3GPP TS 38.215.","number","2024-07-22","6"
"val_signal_ss_rsrp_dbm","Synchronization Signal Reference Signal Received Power (SS-RSRP) is defined as the linear average over the power contributions (in [W]) of the resource elements that carry secondary synchronization signals. Reference: 3GPP TS 38.215.","number","2024-07-22","6"
"val_signal_rsrq_db","Reference signal received quality; this field is pre-filtered to between -20 and -3","number","2024-07-22","5"
