"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size","Platform Type"
"val_signal_ss_snr_db","SS signal-to-noise and interference ratio (SS-SNR)The linear average over the power contribution (in [W]) of the resource elements carrying secondary synchronisation signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.Range: [-30, +30], where -30 is poor and +30 is best","integer","2023-07-01","16","Mobile"
"val_signal_asu","Arbitrary Strength Unit. This value is proportional to the device's signal strength, but the calculation for determining the actual signal strength varies by connection type. The valid value range for GSM and WCDMA is 0 to 31 while CDMA and LTE have a valid range of 0 to 97, with 99 representing unknown across all connection types. For more information on ASU and calculating true signal strength, please see 3GPP RSRP document GPP 27.007 (Ver 10.3.0) Sec 8.69.","integer","2023-07-01","10","Mobile"
"val_signal_timing_advance_ts","LTE Timing Advance measured in Ts.","integer","2023-07-01","16","Mobile"
"val_signal_cqi","CQI stands for Channel Quality Indicator. As the name implies, it is an indicator carrying the information on how good/bad the communication channel quality is. In LTE, there are 15 different CQI values ranging from 1 to 15 and mapping between CQI and modulcation scheme.In HSDPA, the CQI value ranges from 0 to 30. 30 indicates the best channel quality and 0,1 indicates the poorest channel quality.","integer","2023-07-01","8","Mobile"
"id_cell_primary","The primary cell ID that the device is connected to during the test.","integer","2023-07-01","32","Mobile"
"attr_cell_pci","Physical Cell Identity. An integer to identify the physical LTE, LTE+NR, or NR cell the user is connected to. The value is unique to the physical cell antennae rather than a specific cell tower. Valid values are 0 to 503.","integer","2023-07-01","16","Mobile"
"attr_cell_lac","GSM, WCDMA. A 16-bit integer representing a cell's location within a given operator's system.","integer","2023-07-01","32","Mobile"
"attr_cell_frequency_channel","The Absolute Radio Frequency Channel Number (ARFCN) is a unique number given to each radio channel in GSM. The ARFCN can be used to calculate the exact frequency of the radio channel. Within the GSM900 band ARFCN 1 to 124 are used. In the GSM1800 band ARFCN 512 to 885 are used.The UTRA Absolute Radio Frequency Channel Number (UARFCN) is a unique number given to each radio channel within the frequency bands used by the UMTS UTRA. The UARFCN can be used to calculate the carrier frequency.The E-UTRA Absolute Radio Frequency Channel Number (EARFCN). In LTE, the carrier frequency in the uplink and downlink is designated by EARFCN, which ranges between 0-65535. EARFCN uniquely identify the LTE band and carrier frequency. EARFCN is independent of channel bandwidth.","integer","2023-07-01","32","Mobile"
"attr_cell_frequency_channel_type","The type of cell frequency channel, such as ARFCN, UARFCN, EARFCN.","text","2023-07-01","6","Mobile"
"attr_cell_nr_frequency_range","The frequency range of 5G NR.0 = FREQUENCY_RANGE_UNKNOWN. Indicates frequency range is unknown.1 = FREQUENCY_RANGE_LOW. Indicates the frequency range is below 1GHz.2 = FREQUENCY_RANGE_MID. Indicates the frequency range is between 1GHz to 3GHz.3 = FREQUENCY_RANGE_HIGH. Indicates the frequency range is between 3GHz and 6GHz.4 = FREQUENCY_RANGE_MMWAVE. Indicates the frequency range is above 6GHz.","integer","2023-07-01","8","Mobile"
"attr_cell_bands","An array of band numbers or empty array if not available.","array(int)","2023-07-01","100","Mobile"
"attr_cell_bandwidths_khz","An array (JSON string containing an array of integers) of cell bandwidths (in kHz) for the current serving cells.","array(int)","2023-07-01","100","Mobile"
"attr_location_timezone","Name of user's timezone at location of test.","text","2023-07-01","50","Mobile + Wifi"
"attr_device_model","The Ookla-derived common name of the model of the device used for testing.","text","2023-07-01","255","Mobile + Wifi"
"attr_sim_operator_common_name","The Ookla-maintained common name of the SIM card provider. In the case of MVNOs, this will be the name of the carrier that owns the PLMN network.","text","2023-07-01","255","Mobile + Wifi"
"attr_network_operator_common_name","The Ookla-maintained name of the network operator.","text","2023-07-01","255","Mobile + Wifi"
"attr_network_isp_name","The ISP name as reported by MaxMind.","text","2023-07-01","255","Mobile + Wifi"
"attr_network_isp_common_name","The Ookla-maintained name of the network operator.","text","2023-07-01","255","Mobile + Wifi"
"attr_connection_tech_name","Detailed connection technology utilized for connection to internet","text","2023-07-01","255","Mobile + Wifi"
"attr_connection_standard_name","Defined standard for related connection technologies  Examples include LTE or DSL, which define standards for connection technologies, but do not dictate the specific connection technology used.","text","2023-07-01","255","Mobile + Wifi"
"attr_connection_family_name","Family or grouping of connection technologies utilized for the connection to the internet (cellular, copper, fiber, satellite, etc.)","text","2023-07-01","255","Mobile + Wifi"
"attr_connection_family_name_first_hop","Family or grouping of connection technologies utilized for the first hop when connecting to the internet (cellular, copper, fiber, satellite, etc.)","text","2023-07-01","255","Mobile + Wifi"
"attr_connection_generation_name","Specific generation of connection technologies utilized for the connection to the internet (2G, 3G, 4G, Docsis31, Docsis40, etc.","text","2023-07-01","255","Mobile + Wifi"
"attr_place_formatted_address","Full location name including city, county, region, and country, if available.","text","2023-07-01","100","Mobile + Wifi"
"attr_place_name","Unabbreviated location name; typically the city where the test is taken.","text","2023-07-01","100","Mobile + Wifi"
"attr_place_locality_type","Type of locality where test is taken. This is typically an incorporated city or town political entity.","text","2023-07-01","100","Mobile + Wifi"
"attr_place_country","Country where test is taken.","text","2023-07-01","100","Mobile + Wifi"
"attr_place_country_code","Country code where test is taken.","text","2023-07-01","2","Mobile + Wifi"
"attr_place_region","Region name where test is taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc.","text","2023-07-01","100","Mobile + Wifi"
"attr_place_subregion","Region name where test is taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level names. Not all countries display this information.","text","2023-07-01","100","Mobile + Wifi"
"attr_place_subsubregion","Region name where test is taken. This is the third-order civil entity in a country level. Depending on the country, these are the level under counties. Not all countries display this information.","text","2023-07-01","100","Mobile + Wifi"
"attr_place_postal_code","Postal code for the test location. The postal code is that same as what is used to address mail within the country.","text","2023-07-01","100","Mobile + Wifi"
"is_network_international_roaming","TRUE if the device is roaming internationally.","boolean","2023-07-01","5","Mobile + Wifi"
"is_carrier_resolved_from_ip_address","TRUE if an IP address lookup is used to determine the carrier.","boolean","2024-07-15","5","Mobile + Wifi"
"attr_wifi_frequency_mhz","The frequency the WiFi router isconnecting with when test is taken","integer","2024-07-15","5","Wifi"
"attr_wifi_channel_width_id","","","","3",""
"attr_wifi_standard","The friendly name of the connectionWi-Fi standard value such as:unknown, legacy Wi-Fi 802.11a/b/g,Wi-Fi 802.11n, Wi-Fi 802.11ac, Wi-Fi802.11ax, Wi-Fi 802.11ad","text","2024-07-15","25","Wifi"
"id_wifi_standard","The connection Wi-Fi standard value.0 = unknown1 = legacy; Wi-Fi 802.11a/b/g4 = Wi-Fi 802.11n5 =Wi-Fi 802.11ac6 = Wi-Fi 802.11ax7 =Wi-Fi 802.11ad","integer","2024-07-15","1","Wifi"
"attr_wifi_rssi_dbm","Wifi RSSI signal strength.","integer","2024-07-15","11","Wifi"
"attr_wifi_max_supported_rx_link_speed_mbps","The maximum supported receive link speed in Mbps reported by Android.","integer","2024-07-15","11","Wifi"
"attr_wifi_max_supported_tx_link_speed_mbps","The maximum supported transmit link speed in Mbps reported by Android.","integer","2024-07-15","11","Wifi"
"attr_wifi_rx_link_speed_mbps","The current receive link speed inMbps reported by Android.","integer","2024-07-15","11","Wifi"
"attr_wifi_tx_link_speed_mbps","The current transmit link speed inMbps reported by Android.","integer","2024-07-15","11","Wifi"
"is_wifi_connected","TRUE if the device is connected to wifi.","boolean","2024-07-15","5","Wifi"
"val_packet_loss_ratio","Percentage of packets (pings) lost with respect to packets sent","number","2024-10-03","20","Mobile + Wifi"
"num_connections_attempted","The number of attempted pings that occurred during the latency test.","integer","2024-10-03","2","Mobile + Wifi"
"id_location_building","The unique Building ID where the measurement was estimated to have been captured. If NULL then the measurement was not tagged as being captured indoor.","text","2025-03-31","255","Mobile + Wifi"
"val_indoor_confidence_level","The percentage (0% - 100%) level of likelihood that the measurement was captured indoor. If NULL then the measurement was not tagged as being captured indoor.","float","2025-03-31","6","Mobile + Wifi"
"attr_device_battery_state","The status of the battery Charging, Discharging, Not charging, Full, Unknown.","text","2025-06-30","2","Mobile + Wifi"
"val_device_battery_temperature","The temperature of the battery.","float","2025-06-30","5","Mobile + Wifi"
"val_device_cpu_usage","The CPU usage in percentage.","float","2025-06-30","5","Mobile + Wifi"
"val_device_ram","The total ram of the device.","integer","2025-06-30","10","Mobile + Wifi"
"val_device_free_ram","The amount of free RAM in MB.","integer","2025-06-30","10","Mobile + Wifi"
"val_device_maximum_storage","The maximum amount of storage in the device.","integer","2025-06-30","10","Mobile + Wifi"
"val_device_free_storage","The amount of free storage.","integer","2025-06-30","10","Mobile + Wifi"
"is_device_5g_capable","Is device 5G capable","boolean","2025-06-30","5","Mobile + Wifi"
"attr_connection_type","The Connection type.0 = Unknown1 = Dialup2 = Cable/DSL3 = Corporate4 = Cellular5 = Satellite","integer","2025-06-30","1","Mobile"
"attr_cell_technology_standard_name","The standard name of the cellular technology associated with the cell (GSM, CDMA, WCDMA, LTE, NR)","text","2025-06-30","6","Mobile"
"attr_geohash6","Geohash 6 is a unique identifier of an area of 1.2km x 609.4m","text","2025-06-30","6","Mobile + Wifi"
"attr_geohash7","Geohash 7 is a unique identifier of an area of 152.9m x 152.4m","text","2025-06-30","7","Mobile + Wifi"
"attr_geohash8","Geohash 8 is a unique identifier of an area of 38.2m x 19m","text","2025-06-30","8","Mobile + Wifi"
"id_location_type","How the user location coordinates were determined: 1 = GPS / Fused location 2 = GeoIP","interger","2025-06-30","1","Mobile + Wifi"
"attr_private_ip_address","The IP address used during testing.","text","2025-06-30","15","Mobile + Wifi"
"attr_cell_tac","GSM, WCDMA. A 16-bit integer representing a cell's location within a given operator's system.","integer","2025-06-30","8","Mobile"
"is_dc_nr_restricted","A flag indicating if dual-connectivity with NR is restricted in the cell.","boolean","2025-06-30","5","Mobile"
"is_en_dc_available","A flag indicating if EUTRAN NR dual-connectivity is available in the cell.","boolean","2025-06-30","5","Mobile"
