"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"station_latitude_a","CDMA Base Station Latitude as specified in 3GPP2 C.S0005-A v6.0.","number","2020-10-01","9"
"station_longitude_a","CDMA Base Station Longitude as specified in 3GPP2 C.S0005-A v6.0.","number","2020-10-01","9"
"pci_a","LTE Physical Cell Identity. An integer to identify the physical LTE cell the user is connected to. The value is unique to the physical cell antennae rather than a specific cell tower. Valid values are 0 to 503. A value of 65535 or null indicates that the device was unable to return a PCI value.","number","2020-10-01","5"
"cid_a","GSM, WCDMA, LTE. An ID for a cell within a given network. Valid GSM IDs range from 0 to 65535 while WCDMA and LTE allow integers up to 2147483647. In all three connection types, the maximum valid value represents unknown. In UMTS networks, this number includes the RNC number. The inclusion of the RNC number means some work will likely need to be done to allow this field to join with your tower data.","number","2020-10-01","10"
"lac_a","GSM, WCDMA. A 16-bit integer representing a cell's location within a given operator's system. 65535 represents unknown.","number","2020-10-01","5"
"psc_a","GSM, WCDMA. Primary Scrambling Code. Valid values range from 0 to 512 with 65535 representing unknown.","number","2020-10-01","5"
"asu_level_a","Arbitrary Strength Unit. This value is proportional to the device's signal strength, but the calculation for determining the actual signal strength varies by connection type. The valid value range for GSM and WCDMA is 0 to 31 while CDMA and LTE have a valid range of 0 to 97, with 99 representing unknown across all connection types. For more information on ASU and calculating true signal strength, please see 3GPP RSRP document GPP 27.007 (Ver 10.3.0) Sec 8.69.","number","2020-10-01","3"
"dbm_a","Cell signal strength as dBm. A small percentage of devices often report positive values for this. Please use absolute values for this field so that those devices are normalized with the rest.","number","2020-10-01","11"
"level_a","A simplified signal strength measurement, represented as 0 to 4. This is generalized from each carrier's individual scales. Roughly, these are how the signal strengths translate:  0 = none, 1 = poor, 2 = moderate, 3 = good, 4 = great","number","2020-10-01","3"
"bsic_a","The Base Station Identity Code (BSIC) is a code used in GSM to uniquely identify a base station. The code is needed because it is possible that mobile stations receive the broadcast channel of more than one base station on the same frequency.","number","2020-10-01","3"
"cqi_a","CQI stands for Channel Quality Indicator. As the name implies, it is an indicator carrying the information on how good/bad the communication channel quality is.  In LTE, there are 15 different CQI values randing from 1 to 15 and mapping between CQI and modulcation scheme. In HSDPA, the CQI value ranges from 0 to 30. 30 indicates the best channel quality and 0,1 indicates the poorest channel quality. ","number","2020-10-01","2"
"evdo_dbm_a","EVDO signal strength value in dBm","number","2020-10-01","11"
"evdo_ecio_a","EVDO Ec/Io value in dB*10","number","2020-10-01","11"
"evdo_level_a","EVDO signal level 0 to 4","number","2020-10-01","3"
"evdo_snr_a","EVDO signal to noise ratio 0 to 8","number","2020-10-01","3"
"signal_string_a","This is the raw string output from the device when all signal strength information is requested. While most information is already represented in the other columns, some devices will report additional information when the string method is called.","string ","2020-10-01","255"
"csi_rsrp_a","CSI Reference Signal Received Power (CSI-RSRP), is defined as the linear average over the power contributions (in [W]) of the resource elements of the antenna port(s) that carry CSI reference signals configured for RSRP measurements within the considered measurement frequency bandwidth in the configured CSI-RS occasions. Reference: 3GPP TS 38.215.","number","2020-10-01","6"
"csi_rsrq_a","CSI Reference Signal Received Quality (CSI-RSRQ) is defined as the ratio of N×CSI-RSRP to CSI-RSSI, where N is the number of resource blocks in the CSI-RSSI measurement bandwidth. Reference: 3GPP TS 38.215.","number","2020-10-01","4"
"csi_sinr_a","CSI signal-to-noise and interference ratio (CSI-SINR), is defined as the linear average over the power contribution (in [W]) of the resource elements carrying CSI reference signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.","number","2020-10-01","4"
"nci_a","New Radio Cell Identity.","number","2020-10-01","11"
"nr_asu_a","RSRP in ASU (NR). Asu is calculated based on 3GPP RSRP. Refer to 3GPP 27.007 (Ver 10.3.0) Sec 8.69.","number","2020-10-01","3"
"nr_arfcn_a","New Radio Absolute Radio Frequency Channel Number. Reference: 3GPP TS 38.101-1 section 5.4.2.1 NR-ARFCN and channel raster. Reference: 3GPP TS 38.101-2 section 5.4.2.1 NR-ARFCN and channel raster.","number","2020-10-01","7"
"nr_level_a","An abstract level value for the overall signal quality (NR). 0 = none or unknown, 1 = poor, 2 = moderate, 3 = good, 4 = great","number","2020-10-01","1"
"nr_mcc_a","Mobile Country Code of New Radio cell. ","text","2020-10-01","3"
"nr_mnc_a","Mobile Network Code of New Radio cell. ","text","2020-10-01","3"
"nr_pci_a","New Radio Physical Cell ID.","number","2020-10-01","4"
"nr_tac_a","New Radio Tracking Area Code.","number","2020-10-01","5"
"ss_rsrp_a","Synchronization Signal Reference Signal Received Power (SS-RSRP) is defined as the linear average over the power contributions (in [W]) of the resource elements that carry secondary synchronization signals. Reference: 3GPP TS 38.215.","number","2020-10-01","6"
"ss_rsrq_a","Synchronization Signal Reference Signal Received Quality (SS-RSRQ) is defined as the ratio of N×SS-RSRP / NR carrier RSSI, where N is the number of resource blocks in the NR carrier RSSI measurement bandwidth. Reference: 3GPP TS 38.215.","number","2020-10-01","4"
"ss_sinr_a","SS signal-to-noise and interference ratio (SS-SINR), is defined as the linear average over the power contribution (in [W]) of the resource elements carrying secondary synchronisation signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.","number","2020-10-01","4"
"is_nr_available_a","""True"" if NR is supported by the selected PLMN. Otherwise, ""False"". Reference: 3GPP TS 36.331 v15.2.2 section 6.3.1 PLMN-InfoList-r15.","text","2020-10-01","5"
