"Field Name","Definition","Data Type","Date Available","Max Field Size"
"attr_wifi_standard","The friendly name of the connection Wi-Fi standard value such as: unknown, legacy Wi-Fi 802.11a/b/g, Wi-Fi 802.11n, Wi-Fi 802.11ac, Wi-Fi 802.11ax, Wi-Fi 802.11ad","text","2022-03-01","25"
"id_wifi_standard","The connection Wi-Fi standard value.0 = unknown1 = legacy; Wi-Fi 802.11a/b/g4 = Wi-Fi 802.11n5 = Wi-Fi 802.11ac6 = Wi-Fi 802.11ax7 = Wi-Fi 802.11ad","number","2022-03-01","1"
"val_download_mbps","The result of the download portion of the test, measured in megabits per second.","number","2022-03-01","11"
"val_upload_mbps","The result of the upload portion of the test, measured in megabits per second.","number","2022-03-01","11"
"val_latency_ms","The result of the latency portion of the test, measured in milliseconds.","number","2022-03-01","6"
"val_tr0_latency_ms","The time taken for the packet to be received after the first hop in the traceroute.","number","2022-04-29","5"
"val_jitter_ms","The variance in latency over time which determines the stability of the internet connection.","number","2022-03-01","4"
"attr_server_name","City where server tested is located.","text","2022-03-01","255"
"attr_server_country_code","The two letter country code (ISO 3166-1 alpha-2) of where the test server is located.","text","2022-04-29","2"
"attr_server_sponsor","The name of the test server sponsor. Combining server name and server sponsor will create a unique name for each server.","text","2022-03-01","255"
"attr_server_latitude","Latitude of server tested.","number","2022-03-01","10"
"attr_server_longitude","Longitude of server tested.","number","2022-03-01","10"
"attr_server_distance_km","Distance (in kilometers) between user and location of server.","number","2022-03-01","9"
"attr_server_traceroute_hops","The number of hops taken on the traceroute from the client to server.","number","2022-03-01","3"
"is_server_auto_selected","Whether the server used in the Speedtest was selected automatically or manually by the user. ""TRUE"" indicates that the server was selected automatically. ""FALSE"" indicates that the server was selected manually by the user. ","text","2022-03-01","5"
"attr_num_download_servers","Number of Ookla servers used during the test.","number","2022-03-01","1"
"is_included_portal","TRUE if the test is included in the Speedtest Intelligence portal. FALSE if the test has been excluded from the Speedtest Intelligence portal.","text","2022-04-29","5"
"attr_portal_categories","A comma-separated list of Speedtest Intelligence portal aggregates where the test is included. Example: All Fixed, All Wifi, Desktop","text","2022-05-26","100"
"attr_wifi_mac_manufacturer","The manufacturer name associated with the MAC address of the WiFi access point (AP) serving the device based on IEEE Registration Authority assignments. This may not point to the marketed manufacturer name of the AP and may be associated with the manufacturer of another component such as the AP's radio.","text","2022-09-14","255"
"val_multiserver_latency_ms","The result of the multi-server latency, based on server selection, measured in milliseconds.","number","2022-09-14","6"
"val_multiserver_jitter_ms","The result of the multi-server jitter, based on server selection, measured in milliseconds.","number","2022-09-14","4"
"val_latency_download_iqm_ms","The interquartile mean latency value measured during the download portion of the test. Also referred to as “loaded latency”.","number","2022-09-14","6"
"val_latency_download_min_ms","The minimum latency value measured during the download portion of the test. Also referred to as “loaded latency”.","number","2022-09-14","6"
"val_latency_download_max_ms","The maximum latency value measured during the download portion of the test. Also referred to as “loaded latency”.","number","2022-09-14","6"
"val_latency_upload_iqm_ms","The interquartile mean latency value measured during the upload portion of the test. Also referred to as “loaded latency”.","number","2022-09-14","6"
"val_latency_upload_min_ms","The minimum latency value measured during the upload portion of the test. Also referred to as “loaded latency”.","number","2022-09-14","6"
"val_latency_upload_max_ms","The maximum latency value measured during the upload portion of the test. Also referred to as “loaded latency”.","number","2022-09-14","6"
"val_latency_iqm_ms","The interquartile mean latency value measured after the server selection phase of the test. ","number","2022-09-14","6"
"val_latency_min_ms","The minimum latency value measured after the server selection phase of the test. Formally referred to as ""latency"".","number","2022-09-14","6"
"val_latency_max_ms","The maximum latency value measured after the server selection phase of the test. ","number","2022-09-14","6"
"Attr_geohash6","Geohash 6 is a unique identifier of an area of 1.2km x 609.4m","text","2024-07-22","6"
"Attr_geohash7","Geohash 7 is a unique identifier of an area of 152.9m x 152.4m","text","2024-07-22","7"
"Attr_geohash8","Geohash 8 is a unique identifier of an area of 38.2m x 19m","text","2024-07-22","8"
